,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,yearly_count
1481,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3209,Brunswick St,40.7241765,-74.05065640000001,43
1482,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3694,Jackson Square,40.71113,-74.0789,19
1483,3268,Lafayette Park,40.71346382669195,-74.06285852193831,3209,Brunswick St,40.7241765,-74.05065640000001,44
1484,3201,Dey St,40.737711,-74.066921,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,49
1485,3268,Lafayette Park,40.71346382669195,-74.06285852193831,3194,McGinley Square,40.7253399253558,-74.06762212514876,26
1486,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,3483,Montgomery St,40.71942,-74.05099,17
1487,3638,Washington St,40.7242941,-74.0354826,3201,Dey St,40.737711,-74.066921,9
1488,3194,McGinley Square,40.7253399253558,-74.06762212514876,3268,Lafayette Park,40.71346382669195,-74.06285852193831,29
1489,3198,Heights Elevator,40.748715945380226,-74.04044330120088,3201,Dey St,40.737711,-74.066921,14
1490,3201,Dey St,40.737711,-74.066921,3198,Heights Elevator,40.748715945380226,-74.04044330120088,24
1491,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,53
1492,3220,5 Corners Library,40.73496102000952,-74.05950307846071,3187,Warren St,40.721123600000006,-74.03805095,21
1493,3212,Christ Hospital,40.734785818,-74.050443636,3186,Grove St PATH,40.71958611647166,-74.0431174635887,91
1494,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3205,JC Medical Center,40.71653978099194,-74.0496379137039,648
1495,3280,Astor Place,40.71928220070703,-74.07126188278198,3483,Montgomery St,40.71942,-74.05099,26
1496,3268,Lafayette Park,40.71346382669195,-74.06285852193831,3213,Van Vorst Park,40.71848892,-74.047726625,81
1497,3206,Hilltop,40.7311689,-74.0575736,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,46
1498,3483,Montgomery St,40.71942,-74.05099,3280,Astor Place,40.71928220070703,-74.07126188278198,15
1499,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3279,Dixon Mills,40.72163014263835,-74.04996782541275,91
1500,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,3483,Montgomery St,40.71942,-74.05099,40
1501,3483,Montgomery St,40.71942,-74.05099,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,23
1502,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,49
1503,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,144
1504,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,85
1505,3280,Astor Place,40.71928220070703,-74.07126188278198,3209,Brunswick St,40.7241765,-74.05065640000001,19
1506,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,3192,Liberty Light Rail,40.711242299999995,-74.0557013,58
1507,3220,5 Corners Library,40.73496102000952,-74.05950307846071,3481,York St,40.71649,-74.04105,6
1508,3191,Union St,40.71821129999999,-74.08363940000001,3203,Hamilton Park,40.727595965999996,-74.044247311,17
1509,3206,Hilltop,40.7311689,-74.0575736,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,27
1510,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,3426,JCBS Depot,40.70965083364061,-74.0686011314392,3
1511,3212,Christ Hospital,40.734785818,-74.050443636,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,22
1512,3185,City Hall,40.717732500000004,-74.04384499999999,3206,Hilltop,40.7311689,-74.0575736,21
1513,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,15
1514,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,94
1515,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,3275,Columbus Drive,40.71835519823214,-74.03891444206238,16
1516,3196,Riverview Park,40.7443187,-74.04399090000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,79
1517,3280,Astor Place,40.71928220070703,-74.07126188278198,3481,York St,40.71649,-74.04105,20
1518,3201,Dey St,40.737711,-74.066921,3481,York St,40.71649,-74.04105,7
1519,3196,Riverview Park,40.7443187,-74.04399090000001,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,37
1520,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3273,Manila & 1st,40.72165072487999,-74.04288411140442,31
1521,3196,Riverview Park,40.7443187,-74.04399090000001,3275,Columbus Drive,40.71835519823214,-74.03891444206238,23
1522,3267,Morris Canal,40.7124188237569,-74.03852552175522,3483,Montgomery St,40.71942,-74.05099,39
1523,3191,Union St,40.71821129999999,-74.08363940000001,3640,Journal Square,40.733670000000004,-74.0625,15
1524,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3195,Sip Ave,40.73089709786179,-74.06391263008119,46
1525,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,3209,Brunswick St,40.7241765,-74.05065640000001,39
1526,3210,Pershing Field,40.742677141,-74.051788633,3679,Bergen Ave,40.72210378668603,-74.07145500183104,29
1527,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,70
1528,3185,City Hall,40.717732500000004,-74.04384499999999,3194,McGinley Square,40.7253399253558,-74.06762212514876,54
1529,3267,Morris Canal,40.7124188237569,-74.03852552175522,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,119
1530,3196,Riverview Park,40.7443187,-74.04399090000001,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,16
1531,3201,Dey St,40.737711,-74.066921,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,4
1532,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3694,Jackson Square,40.71113,-74.0789,87
1533,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3196,Riverview Park,40.7443187,-74.04399090000001,15
1534,3280,Astor Place,40.71928220070703,-74.07126188278198,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,3
1535,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3201,Dey St,40.737711,-74.066921,4
1536,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3198,Heights Elevator,40.748715945380226,-74.04044330120088,74
1537,3210,Pershing Field,40.742677141,-74.051788633,3194,McGinley Square,40.7253399253558,-74.06762212514876,26
1538,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,3280,Astor Place,40.71928220070703,-74.07126188278198,6
1539,3212,Christ Hospital,40.734785818,-74.050443636,3211,Newark Ave,40.72152515,-74.046304543,119
1540,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,3220,5 Corners Library,40.73496102000952,-74.05950307846071,19
1541,3185,City Hall,40.717732500000004,-74.04384499999999,3210,Pershing Field,40.742677141,-74.051788633,16
1542,3203,Hamilton Park,40.727595965999996,-74.044247311,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,141
1543,3268,Lafayette Park,40.71346382669195,-74.06285852193831,3195,Sip Ave,40.73089709786179,-74.06391263008119,21
1544,3213,Van Vorst Park,40.71848892,-74.047726625,3198,Heights Elevator,40.748715945380226,-74.04044330120088,59
1545,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3681,Grand St,40.71517767732029,-74.03768330812454,63
1546,3638,Washington St,40.7242941,-74.0354826,3212,Christ Hospital,40.734785818,-74.050443636,21
1547,3681,Grand St,40.71517767732029,-74.03768330812454,3481,York St,40.71649,-74.04105,69
1548,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3220,5 Corners Library,40.73496102000952,-74.05950307846071,17
1549,3212,Christ Hospital,40.734785818,-74.050443636,3225,Baldwin at Montgomery,40.7236589,-74.0641943,24
1550,3483,Montgomery St,40.71942,-74.05099,3211,Newark Ave,40.72152515,-74.046304543,80
1551,3194,McGinley Square,40.7253399253558,-74.06762212514876,3207,Oakland Ave,40.7376037,-74.05247829999999,9
1552,3184,Paulus Hook,40.7141454,-74.0335519,3225,Baldwin at Montgomery,40.7236589,-74.0641943,63
1553,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,86
1554,3209,Brunswick St,40.7241765,-74.05065640000001,3225,Baldwin at Montgomery,40.7236589,-74.0641943,37
1555,3280,Astor Place,40.71928220070703,-74.07126188278198,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,26
